ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000320322
  Energy(MeV/n)              u              v              w              x              y              z
   3.124057e+02  -3.914876e-02   1.302438e-01  -9.907088e-01   7.530124e+00  -2.268249e+01   9.765831e+01
   4.067585e+02   3.849350e-01  -1.958292e-01  -9.019290e-01  -2.792691e+01  -2.251538e+01   1.038431e+02
   9.698586e+01  -2.577236e-01  -3.207824e-01  -9.114149e-01  -2.620758e+01   3.460017e+01   1.049524e+02
   8.644405e+01   6.936515e-01  -3.863637e-01  -6.079233e-01  -9.863364e+01   5.608248e+01   1.630863e+01
   1.481077e+02  -9.343180e-02   5.267809e-01   8.448505e-01  -4.624267e+01  -8.055795e+01  -7.324864e+01
   2.825821e+02   1.200866e-01  -6.504314e-01  -7.500122e-01   5.215610e+01   1.273385e+02   3.125054e+01
   2.059478e+02   3.284646e-01   3.419950e-01  -8.804263e-01   2.722753e+01  -2.436581e+01   1.142745e+02
   3.489503e+02   6.448422e-01  -4.128443e-01  -6.432248e-01  -9.250310e+01  -2.087271e+01   7.612778e+01
   3.503772e+02   6.220794e-01   4.423081e-01  -6.460502e-01  -8.613588e+01   1.053823e+01   7.906165e+01
   2.160613e+02   2.127500e-01  -2.893346e-02  -9.766782e-01   1.433595e+01  -1.827645e+01   1.060521e+02
   1.431477e+02   8.873879e-01   3.354521e-02  -4.598016e-01  -8.123396e+01   5.766841e+01   6.491597e+01
   5.197897e+02   5.599532e-01   2.951452e-01  -7.741716e-01  -3.338873e+01  -1.128179e+02   6.200977e+01
   1.020653e+02   8.600000e-01   5.059351e-01   6.655594e-02  -8.020761e+01  -5.752863e+01  -2.878329e+01
   2.204281e+02   2.698762e-01  -2.351970e-04  -9.628950e-01   4.447644e+01  -2.320238e+01   1.163248e+02
   2.516821e+03  -1.599431e-01  -2.078606e-01  -9.649934e-01   2.926316e+01   5.115754e+01   8.775804e+01
   5.204205e+02  -1.532625e-01   1.095122e-02  -9.881248e-01  -1.588037e+01  -8.349783e+01   1.027395e+02
   1.888356e+02  -5.656970e-01   2.212972e-01  -7.943641e-01   9.177853e+00  -8.565145e+01   9.548981e+01
   1.028049e+01  -9.409976e-01   1.931627e-01  -2.778698e-01   9.413378e+01  -2.406425e+01   2.437121e+01
   7.495921e+02   1.751358e-01  -5.615920e-02  -9.829413e-01  -1.049593e+02  -3.382802e+01   8.496704e+01
   2.725267e+02   1.141586e-01  -2.180055e-01  -9.692479e-01  -1.039589e+02   5.134941e+01   7.937882e+01
   4.276258e+02  -4.452587e-02  -4.571570e-01  -8.882707e-01  -9.189784e+00   1.227677e+02   4.985535e+01
   2.947786e+02  -7.103636e-02  -6.963474e-01  -7.141807e-01  -1.993210e+01   8.300208e+01   6.107365e+01
   2.136606e+03   1.314407e-01  -4.802698e-01  -8.672164e-01  -3.579526e+01   1.268257e+02   3.964929e+01
   2.485392e+02  -8.561317e-01   3.000684e-01  -4.207107e-01   9.796895e+01  -1.942875e+01   2.447223e+01
   1.553038e+02   8.477947e-01   3.105597e-01  -4.298800e-01  -8.474822e+01  -3.839653e+01   3.774657e+01
   1.868929e+02  -4.472104e-01   8.037033e-01  -3.925097e-01   2.364422e+01  -1.127059e+02  -2.945173e+00
   2.765056e+01   8.181751e-01  -5.382823e-01   2.020932e-01  -1.036578e+02   2.853543e+01   8.430965e-01
   1.809378e+02   2.288455e-01   9.221737e-01  -3.118099e-01  -9.807408e+01  -7.287227e+01   3.321029e+01
   1.042830e+02  -3.080356e-01   5.791042e-01  -7.548194e-01   6.628724e+01  -8.047124e+01   4.369248e+01
   1.084518e+03   2.264189e-02   4.707826e-01  -8.819586e-01  -3.253355e+01  -5.669190e+01   8.228710e+01
   2.482091e+02  -2.881479e-01   4.117003e-01  -8.645656e-01   3.955050e+01   6.169918e-01   1.027772e+02
   1.501704e+02   7.283970e-01   8.455101e-02  -6.799183e-01  -8.046169e+01  -9.379969e+01   4.921339e+01
   6.542439e+02   3.157837e-01  -1.643864e-01  -9.344826e-01  -6.345595e+01  -7.791170e+01   9.927341e+01
   3.529014e+02   5.375154e-01  -2.393302e-01  -8.085779e-01  -6.096477e+01  -6.381245e+01   1.020344e+02
   1.000207e+02   2.997775e-01   3.744445e-02  -9.532740e-01   3.890653e+01   4.273630e+01   1.188153e+02
   4.596032e+01   6.276956e-02  -9.170732e-01  -3.937469e-01   1.228708e+01   7.922853e+01   7.139838e+01
   1.943967e+02   1.456975e-01   9.884637e-01  -4.137398e-02  -7.110602e+01  -9.009921e+01   1.402417e+01
   2.341462e+02  -9.335159e-01  -2.153713e-01  -2.866413e-01   1.174784e+02  -4.560923e+01   5.404803e-01
   1.129774e+03  -3.321672e-01   1.733522e-01  -9.271537e-01   7.717783e+01  -5.319440e+01   7.026094e+01
   6.258998e+02  -2.734775e-02   2.824711e-01  -9.588859e-01  -7.356506e+01  -1.280031e+01   1.026150e+02
   6.649841e+00   5.992230e-01  -6.067756e-01  -5.222597e-01  -3.092405e+01   6.080285e+01   8.535200e+01
   8.090842e+01  -7.628388e-01  -2.547662e-01  -5.942821e-01   1.019444e+02  -5.845404e+00   3.991718e+01
   1.655235e+02  -8.061176e-02  -4.991486e-01  -8.627586e-01  -4.943579e+01   7.269668e+01   7.846767e+01
   3.120100e+02   5.967399e-01  -3.159608e-02  -8.018125e-01  -8.151977e+01  -7.535803e+01   6.701682e+01
   1.608583e+02  -2.907770e-01  -5.104540e-02  -9.554282e-01   2.621669e+01  -9.123493e+01   1.015607e+02
   7.460566e+01   7.733823e-01  -6.327509e-01   3.880819e-02  -8.128198e+01   6.288545e+01   6.835856e+01
   5.897499e+02   1.470004e-01  -2.314877e-01  -9.616675e-01  -9.894308e+01   5.234989e+00   8.760148e+01
   6.435955e+02  -1.323160e-01  -2.970072e-01  -9.456634e-01  -2.010001e+01   7.814630e+01   8.401461e+01
   2.506074e+02  -2.973975e-01  -4.018989e-01  -8.660439e-01   1.507261e+01   1.176529e+02   5.569334e+01
   1.450036e+01   9.553208e-01  -2.899690e-01  -5.727266e-02  -1.162503e+02  -3.155616e+01  -3.327995e+01
   1.806069e+02  -7.251066e-02  -6.810253e-01  -7.286609e-01  -5.459644e+00   7.321952e+01   6.934849e+01
   2.702727e+02   9.424602e-02  -8.686172e-01  -4.864379e-01   2.672250e+01   6.640040e+01   9.218435e+01
   2.716983e+02   1.096369e-01  -7.124419e-01  -6.931135e-01  -1.480252e+01   1.273078e+02   1.107711e+01
   9.708175e+01   5.037714e-01   7.824375e-01  -3.660682e-01  -7.711626e+01  -4.382755e+01   7.337079e+01
   5.247833e+01  -2.288341e-02  -6.041408e-01  -7.965489e-01   3.061961e-01   1.089237e+02   4.291980e+01
   3.842021e+02   1.584172e-01  -1.796412e-01  -9.708929e-01   6.534785e+00   4.598527e+01   9.555572e+01
   2.421579e+02   2.628135e-03   9.280470e-01  -3.724538e-01  -1.290993e+01  -8.666326e+01   5.245884e+01
   1.416916e+02  -2.673353e-01   9.147177e-01  -3.030238e-01   8.107391e+01  -7.413364e+01   3.469937e+01
   5.559169e+02   5.901245e-01   1.022274e-01  -8.008137e-01   1.608973e+01  -1.871588e+01   1.343404e+02
   3.716468e+02  -3.366780e-01  -6.555104e-01  -6.759838e-01   5.914730e+01   3.341312e+01   8.607271e+01
   4.290577e+02  -6.303861e-02  -2.815293e-01  -9.574797e-01   1.606768e+01  -7.239233e+00   1.055116e+02
   2.906434e+02  -1.824729e-01   4.297398e-01  -8.843231e-01   6.163598e+01  -3.174287e+01   8.493720e+01
   3.099965e+02  -5.759041e-01  -6.632412e-01  -4.779598e-01   6.609420e+01   6.603983e+01   3.794409e+01
   3.683727e+01   4.293602e-02  -1.409359e-01  -9.890872e-01  -6.401143e+01  -6.493706e+01   1.075775e+02
   5.449166e+02  -6.262334e-01   4.702916e-01  -6.218179e-01  -6.528728e+00  -6.645387e+01   1.171337e+02
   2.946801e+01   2.120674e-01   1.337061e-01  -9.680651e-01  -7.696398e+01  -4.191314e+01   8.064995e+01
   6.048439e+01   6.990203e-02  -6.954482e-01  -7.151682e-01   4.842939e+01   1.071685e+02   4.034743e+01
   5.396179e+01  -8.041288e-01   2.214753e-01  -5.516570e-01   8.179553e+01   3.256010e+00   6.334910e+01
   5.335886e+02  -1.210867e-01   3.630369e-01  -9.238735e-01  -2.911121e+01  -2.804276e+01   1.010359e+02
   1.676218e+02  -4.375722e-04  -1.935546e-02  -9.998126e-01   2.088662e+01  -6.774986e+01   1.013212e+02
   2.043674e+02  -4.979091e-01   1.286976e-01  -8.576267e-01   9.025663e+01  -9.521270e+01   4.991305e+01
   3.951870e+02   6.883928e-01   3.855014e-01   6.144136e-01  -1.176662e+02  -2.840073e+01  -1.310346e+01
   1.063984e+03   6.445833e-01   1.030691e-01  -7.575547e-01  -1.137680e+02   6.264007e+01   4.372396e+01
   1.331761e+03  -2.150976e-01  -4.447457e-04  -9.765924e-01  -1.127954e+01   5.386278e+00   1.048788e+02
   1.142298e+02   2.037815e-01   2.944062e-01  -9.337013e-01   6.218683e+01  -6.445524e+01   1.003495e+02
   5.046133e+02  -1.657653e-01   1.926004e-01  -9.671747e-01   5.737637e+01  -9.320203e+01   7.500015e+01
   1.680172e+02   2.729759e-01  -7.065073e-01  -6.529407e-01   5.608767e+01   7.848473e+01   9.167838e+01
   5.513210e+00  -6.367485e-01   4.019325e-01   6.580286e-01   1.542716e+01  -1.930616e+01  -1.252484e+02
   1.615547e+02   1.666910e-01   8.128903e-01  -5.580532e-01  -2.892772e+01  -7.316084e+01   6.398363e+01
   1.709704e+02   2.493873e-01   3.580085e-01  -8.997977e-01   2.102052e+01   2.556785e+01   1.271350e+02
   1.657871e+01   3.264722e-01   2.980002e-01  -8.970016e-01   5.673705e+01  -6.013242e+01   1.121554e+02
